7480201,"Công nghệ thông tin","A00; A01; A02; D01",15,0,0,2,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510201,"Công nghệ kỹ thuật cơ khí","A00; A01; A02; D01",15,0,0,2,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510205,"Công nghệ kỹ thuật ô tô","A00; A01; A02; D01",15,0,0,2,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510301,"Công nghệ kỹ thuật điện; điện tử","A00; A01; A02; D01",15,0,0,2,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510102,"Công nghệ kỹ thuật công trình xây dựng","A00; A01; A02; C01",15,0,0,2,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510401,"Công nghệ kỹ thuật hoá học","A00; A01; B00; D07",15,0,0,2,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7540101,"Công nghệ thực phẩm","A00; B00; B03; C08",15,0,0,2,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810103,"Quản trị dịch vụ du lịch và lữ hành","A00; C00; C20; D01",15,18,0,2,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810201,"Quản trị khách sạn","A00; C00; C20; D01",15,18,0,2,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810202,"Quản trị nhà hàng và dịch vụ ăn uống","A00; C00; C01; D01",15,18,0,2,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720301,"Điều dưỡng","A00; B00; B08; C08",19,0,0,2,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720201,"Dược học","A00; B00; B08; C08",21,0,0,2,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620110,"Khoa học cây trồng","A00; A01; B00; D01",15,0,0,4,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620105,"Chăn nuôi – Thú y","A00; A01; B00; D01",15,0,0,4,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7640101,"Thú y","A00; A01; B00; D01",15,0,0,4,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850103,"Quản lý đất đai","A00; A01; B00; D01",15,0,0,4,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850101,"Quản lý tài nguyên và môi trường","A00; A01; B00; D01",15,0,0,4,"2022-04-15 13:45:53","2022-04-15 13:45:53"
