7310105,"Kinh tế phát triển","A00; A01; D01; C02",24.85,24,0,132,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310106,"Kinh tế quốc tế","A00; A01; D01; D07",25.6,25.5,0,132,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310112,"Kinh tế số","A00; A01; D01; C01",24.65,23.4,0,132,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310205,"Quản lý Nhà nước","C00; A01; D01; D09",24,21.9,0,132,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; D01; C01",25.25,25.5,0,132,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính - Ngân hàng","A00; A01; D01; D07",25.35,24.9,0,132,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; D01; C01",25.05,25.2,0,132,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380107,"Luật Kinh tế","C00; A01; D01; D09",26,24.6,0,132,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7860229,"Chỉ huy kỹ thuật hoá học","A00; A01",22.99,0,0,133,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310201,"Chính trị học","C00; D78; D66; D01",22.07,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A01; A00; D90; D01",32.25,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7760101,"Công tác xã hội","D78; D14; D01; C00",25.75,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140204,"Giáo dục công dân","D14; D15; D78; D01",27.5,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140203,"Giáo dục đặc biệt","D78; D14; D01; C00",28.42,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140201,"Giáo dục Mầm non","D01; D96; D78; D72",26.57,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140202,"Giáo dục Tiểu học","D01; D96; D78; D72",33.95,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510605,"Logistics và Quản lý chuỗi cung ứng","D90; D96; A00; D01",32.8,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101,Luật,"C00; D78; D66; D01",32.83,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh","D14; D15; D78; D01",34.55,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220204,"Ngôn ngữ Trung Quốc","D14; D15; D78; D01",35.07,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340403,"Quản lí công","D90; D96; A00; D01",20.68,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140114,"Quản lí Giáo dục","D78; D14; D01; C00",29,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810103,"Quản trị dịch vụ du lịch và lữ hành","D15; D78; C00; D01",32.3,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810201,"Quản trị khách sạn","D15; D78; C00; D01",32.33,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","D90; D96; A00; D01",32.4,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140218,"Sư phạm Lịch sử","D14; D15; D78; D01",30.1,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140217,"Sư phạm Ngữ văn","D14; D15; D78; D01",34.43,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140209,"Sư phạm Toán học","A01; D07; D90; D01",34.8,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140211,"Sư phạm Vật lí","A01; D07; D90; D01",29,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7460112,"Toán ứng dụng","A01; A00; D90; D01",24.27,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310630,"Việt Nam học","D15; D78; C00; D01",23.25,0,0,134,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310206,"Quan hệ quốc tế","A00; A01; C00; D01; D03; D04",27.6,0,0,135,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310106,"Kinh tế quốc tế","A00; A01; D01",27.4,0,0,135,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380108,"Luật quốc tế","A00; A01; C00; D01",27.3,0,0,135,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7320107,"Truyền thông quốc tế","A00; A01; C00; D01; D03; D04",27.9,0,0,135,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340120,"Kinh doanh quốc tế","A00; A01; D01",27,0,0,135,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh",D01,36.9,0,0,135,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201C06,"Hải quan & Logistics","A01; D01; D07",36.2,0,0,136,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201C09,"Phân tích tài chính","A01; D01; D07",35.63,0,0,136,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201C11,"Tài chính doanh nghiệp","A01; D01; D07",35.7,0,0,136,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340302C21,"Kế toán doanh nghiệp","A01; D01; D07",35.13,0,0,136,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340302C22,"Kiểm toán","A01; D01; D07",35.73,0,0,136,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh","A01; D01; D07",35.77,0,0,136,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310101,"Kinh tế","A01; D01; D07",26.35,0,0,136,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; D01; D07",26.7,0,0,136,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính - Ngân hàng","A00; A01; D07",26.1,0,0,136,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201D,"Tài chính - Ngân hàng",D01,26.45,0,0,136,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; 007",26.55,0,0,136,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301D,"Kế toán",D01,26.95,0,0,136,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340405,"Hệ thống thông tin quản lý","A00; A01; D01; D07",26.1,0,0,136,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7760102,"Công tác Thanh thiếu niên","C00; C20; D01; A09",16,0,0,137,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310202,"Xây dựng Đảng và Chính quyền nhà nước","C00; C20; D01; A09",16,0,0,137,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7760101,"Công tác xã hội","C00; C20; A09; A00",16,0,0,137,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101,Luật,"C00; C20; D01; A09; A00",19,0,0,137,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7320108,"Quan hệ Công chúng","C00; C20; D01; D66",19,0,0,137,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310205,"Quản lý Nhà nước","C00; C20; D01; A09",16,0,0,137,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310401,"Tâm lý học","C00; C20; A09; A00",15,0,0,137,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720101,"Y Khoa",B00,26.3,0,0,139,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720115,"Y học cổ truyền",B00,24.5,0,0,139,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720201,"Dược học",A00,24.95,0,0,139,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7420201,"Công nghệ Sinh học nông, y, dược","A00; B00; A02; D08",22.05,0,0,140,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7440112,"Hóa học","A00; A06; B00; D07",23.1,0,0,140,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7440122,"Khoa học vật liệu tiên tiến và Công nghệ Nano","A00; A02; B00; D07",23,0,0,140,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7440301,"Khoa học Môi trường ứng dụng","A00; A02; B00; D07",22.75,0,0,140,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7460112,"Toán ứng dụng","A00; A01; A02; B00",22.45,0,0,140,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480109,"Khoa học dữ liệu","A00; A01; A02; D08",27.3,0,0,140,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin và truyền thông","A00; A01; A02; D07",25.75,0,0,140,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480202,"An toàn thông tin","A00; A01; A02; B00",27,0,0,140,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510203,"Công nghệ kỹ thuật cơ điện tử","A00; A01; A02; D07",24.5,0,0,140,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520130,"Kỹ thuật ô tô","A00; A01; A02; D07",24.05,0,0,140,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520201,"Kỹ thuật điện và Năng lượng tái tạo","A00; A01; B00; A02",21.05,0,0,140,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520401,"Vật lý kỹ thuật và điện tử","A00; A01; A02; D07",23.05,0,0,140,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7540101,"Khoa học và Công nghệ thực phẩm","A00; A02; B00; D07",27,0,0,140,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520121,"Khoa học Vũ trụ và Công nghệ vệ tinh","A00; A01; A02; D07",21.6,0,0,140,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720601,"Khoa học và Công nghệ Y khoa","A00; A02; B00; D07",22.55,0,0,140,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310106,"Kinh tế quốc tế","A00; A01; D01; D07",28.05,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340120,"Kinh doanh quốc tế","A00; A01; D01; D07",28.25,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510605,"Logistics và Quản lý chuỗi cung ứng","A00; A01; D01; D07",28.3,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340115,Marketing,"A00; A01; D01; D07",28.15,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340122,"Thương mại điện tử","A00; A01; D01; D07",28.1,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810201,"Quản trị khách sạn","A00; A01; D01; D07",27.35,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; D01; D07",27.65,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340302,"Kiểm toán","A00; A01; D01; D07",28.1,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; D01; D07",27.55,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340121,"Kinh doanh thương mại","A00; A01; D01; D07",27.9,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
CT1,"Ngân hàng","A00; A01; D01; D07",27.6,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
CT2,"Tài chính công","A00; A01; D01; D07",27.5,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
CT3,"Tài chính doanh nghiệp","A00; A01; D01; D07",27.9,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340404,"Quản trị nhân lực","A00; A01; D01; D07",27.7,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810103,"Quản trị dịch vụ du lịch và lữ hành","A00; A01; D01; D07",27.2,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310101,"Kinh tế","A00; A01; D01; D07",27.55,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310105,"Kinh tế phát triển","A00; A01; D01; D07",27.5,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310108,"Toán kinh tế","A00; A01; D01; D07",27.4,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340405,"Hệ thống thông tin quản lý","A00; A01; D01; D07",27.5,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; D01; D07",27.3,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480101,"Khoa học máy tính","A00; A01; D01; D07",27,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380107,"Luật kinh tế","A00; A01; D01; D07",27.35,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101,Luật,"A00; A01; D01; D07",27.1,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310107,"Thống kê kinh tế","A00; A01; D01; D07",27.3,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340116,"Bất động sản","A00; A01; D01; D07",27.2,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340401,"Khoa học quản lý","A00; A01; D01; D07",27.2,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340403,"Quản lý công","A00; A01; D01; D07",27.2,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340204,"Bảo hiểm","A00; A01; D01; D07",27,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850101,"Quản lý tài nguyên và môi trường","A00; A01; D01; D07",26.9,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850103,"Quản lý đất đai","A00; A01; D01; D07",27.05,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310104,"Kinh tế đầu tư","A00; A01; D01; B00",27.7,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340409,"Quản lý dự án","A00; A01; D01; B00",27.5,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620114,"Kinh doanh nông nghiệp","A00; A01; D01; B00",26.9,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620115,"Kinh tế nông nghiệp","A00; A01; D01; B00",26.95,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850102,"Kinh tế tài nguyên thiên nhiên","A00; A01; D01; B00",26.95,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7320108,"Quan hệ công chúng","A01; D01; C03; C04",28.1,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh (tiếng Anh hệ số 2)","A01; D01; D09; D10",37.3,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
POHE,"Các chương trình định hướng ứng dụng (POHE - tiếng Anh hệ số 2)","A01; D01; D07; D09",36.75,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
EBBA,"Quản trị kinh doanh (E-BBA)","A00; A01; D01; D07",27.05,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
EPMP,"Quản lý công và Chính sách (E- PMP)","A00; A01; D01; D07",26.85,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
EP02,"Định phí Bảo hiểm & Quản trị rủi ro (Actuary)","A00; A01; D01; D07",26.95,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
EP03,"Khoa học dữ liệu trong Kinh tế & Kinh doanh (DSEB)","A00; A01; D01; D07",26.95,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
EP05,"Kinh doanh số (E-BDB)","A00; A01; D01; D07",27.15,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
EP06,"Phân tích kinh doanh (BA)","A00; A01; D01; D07",27.3,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
EP07,"Quản trị điều hành thông minh (E-SOM)","A01; D01; D07; D10",27.1,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
EP08,"Quản trị chất lượng và Đổi mới (E-MQI)","A01; D01; D07; D10",27.1,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
EP09,"Công nghệ tài chính (BFT)","A00; A01; D01; D07",27.1,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
EP04,"Kế toán tích hợp chứng chỉ quốc tế (ACT-ICAEW)","A00; A01; D01; D07",27.3,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
EP12,"Kiểm toán tích hợp chứng chỉ quốc tế (AUD-ICAEW)","A00; A01; D01; D07",27.55,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
EP13,"Kinh tế học tài chính (FE)","A00; A01; D01; D07",26.95,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
EP01,"Khởi nghiệp và phát triển kinh doanh (BBAE)","A01; D01; D07; D09",36.45,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
EP11,"Quản trị khách sạn quốc tế (IHME)","A01; D01; D09; D10",36.6,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
EP10,"Đầu tư tài chính (BFI)","A01; D01; D07; D10",37.1,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
EP14,"Logistics và Quản lý chuỗi cung ứng tích hợp chứng chỉ quốc tế (LSIC)","A01; D01; D07; D10",37.55,0,0,141,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201KMA,"Công nghệ thông tin","A00; A01; D90",26.4,0,0,142,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480202KMA,"An toàn thông tin","A00; A01; D90",25.95,0,0,142,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520207,"Kỹ thuật điện tử - viễn thông","A00; A01; D90",25.5,0,0,142,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201KMP,"Công nghệ thông tin","A00; A01; D90",25.15,0,0,142,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480202KMP,"An toàn thông tin","A00; A01; D90",25.1,0,0,142,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7860220,"Đào tạo kỹ sư quân sự","A00; A01",29.23,0,0,143,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580101,"Kiến trúc",V00,28.85,0,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580105,"Quy hoạch vùng và đô thị",V00,27.5,0,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580105_1,"Quy hoạch vùng và đô thị (Chuyên ngành Thiết kế đô thị)",V00,27,0,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580102,"Kiến trúc cảnh quan",V00,26.5,0,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580101_1,"Chương trình tiên tiến ngành Kiến trúc",V00,24,0,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580108,"Thiết kế nội thất",H00,21.25,0,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210105,"Điêu khắc",H00,21.25,0,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580213,"Kỹ thuật cấp thoát nước","A00; A01; D01; D07",20,18,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580210,"Kỹ thuật cơ sở hạ tầng (Chuyên ngành Kỹ thuật hạ tầng đô thị)","A00; A01; D01; D07",20,18,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580210_1,"Kỹ thuật cơ sở hạ tầng (Chuyên ngành Kỹ thuật môi trường đô thị)","A00; A01; D01; D07",20,18,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580210_2,"Kỹ thuật cơ sở hạ tầng (Chuyên ngành Công nghệ cơ điện công trình)","A00; A01; D01; D07",20,18,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580205,"Kỹ thuật xây dựng công trình giao thông","A00; A01; D01; D07",20,18,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210403,"Thiết kế đồ họa",H00,22.5,0,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210404,"Thiết kế thời trang",H00,21,0,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580201,"Kỹ thuật xây dựng (Chuyên ngành Xây dựng dân dụng và công nghiệp)","A00; A01; D01; D07",21.5,0,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580201_1,"Kỹ thuật xây dựng (Chuyên ngành Xây dựng công trình ngầm đô thị)","A00; A01; D01; D07",19,19,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580201_2,"Kỹ thuật xây dựng (Chuyên ngành Xây dựng công trình ngầm đô thị)","A00; A01; D01; D07",20,21,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510105,"Công nghệ kỹ thuật vật liệu xây dựng","A00; A01; D01; D07",19,19,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580302,"Quản lý xây dựng","A00; A01; C01; D01",19.75,0,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580302_1,"Quản lý xây dựng (Chuyên ngành Quản lý bất động sản)","A00; A01; C01; D01",22,0,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580301,"Kinh tế Xây dựng","A00; A01; C01; D01",22.5,0,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; D01; D07",24.5,0,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201_1,"Công nghệ thông tin (Chuyên ngành Công nghệ đa phương tiện)","A00; A01; D01; D07",25.25,0,0,144,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7860201,"Chỉ huy tham mưu Lục quân","A00; A01",24.3,0,0,145,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị Kinh doanh","A00; A01; D01",24.65,0,0,146,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính Ngân hàng","A00; A01; D01",24.7,0,0,146,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; D01",24.85,0,0,146,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340404,"Quản trị nhân lực","A00; A01; D01",24.8,0,0,146,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340408,"Quan hệ lao động","A00; A01; D01",15.1,0,0,146,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850201,"Bảo hộ Lao động","A00; A01; D01",18.2,0,0,146,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310301,"Xã hội học","A01; C00; D01",17.75,0,0,146,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7760101,"Công tác xã hội","A01; C00; D01",19.7,0,0,146,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101,Luật,"A01; C00; D01",25.5,0,0,146,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480104,"Hệ thống thông tin (Công nghệ thông tin)","A00; A01; A16; D01",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510205,"Công nghệ kỹ thuật ô tô","A00; A01; A16; D01",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510203,"Công nghệ kỹ thuật cơ điện tử","A00; A01; A16; D01",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520103,"Kỹ thuật cơ khí (Công nghệ chế tạo máy)","A00; A01; A16; D01",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580201,"Kỹ thuật xây dựng (Kỹ thuật công trình xây dựng)","A00; A01; A16; D01",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A16; C15; D01",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A16; C15; D01",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310101,"Kinh tế","A00; A16; C15; D01",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340116,"Bất động sản","A00; A16; C15; D01",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7760101,"Công tác xã hội","A00; C00; C15; D01",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810103,"Quản trị dịch vụ du lịch và lữ hành","A00; C00; C15; D01",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620211,"Quản lý tài nguyên rừng (Kiểm lâm)","A00; B00; C15; D01",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620205,"Lâm sinh","A00; A16; B00; D01",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620201,"Lâm học","A00; A16; B00; D01",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850101,"Quản lý tài nguyên và Môi trường","A00; A16; B00; D01",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7440301,"Khoa học môi trường","A00; A16; B00; D01",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850103,"Quản lý đất đai","A00; A16; B00; D01",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7420201,"Công nghệ sinh học","A00; A16; B00; B08",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7640101,"Thú y","A00; A16; B00; B08",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620110,"Khoa học cây trồng (Nông học, Trồng trọt)","A00; A16; B00; D01",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580108,"Thiết kế nội thất","A00; C15; D01; H00",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7549001,"Công nghệ chế biến lâm sản (Công nghệ gỗ và quản lý sản xuất)","A00; A16; D01; D07",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620202,"Lâm nghiệp đô thị (Cây xanh đô thị)","A00; A16; B00; D01",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580102,"Kiến trúc cảnh quan","A00; D01; C15; V01",15,18,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7908532A,"Quản lý tài nguyên thiên nhiên","D01; D07; B08; D10",15,0,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850104,"Du lịch sinh thái","B00; C00; C15; D01",15,0,0,147,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101,Luật,A00,25.35,28.2,0,148,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101,Luật,A01,25.75,27.82,0,148,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101,Luật,C00,28,27.1,0,148,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101,Luật,"D01; D02; D03; D05; D06",26.55,27.33,0,148,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380107,"Luật kinh tế",A00,26.25,29.27,0,148,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380107,"Luật kinh tế",A01,26.9,28.96,0,148,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380107,"Luật kinh tế",C00,29.25,27.16,0,148,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380107,"Luật kinh tế","D01; D02; D03; D05; D06",27.25,28.4,0,148,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380109,"Luật thương mại quốc tế",A01,26.2,28.61,0,148,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380109,"Luật thương mại quốc tế",D01,26.9,27.89,0,148,"2022-04-15 13:45:53","2022-04-15 13:45:53"
